iteration          time             xO2              xO              xN             xCO             xCN             xC3          xE(s1)          xC(b1)
     3050    1.5250E-01    4.315022E-16    1.000000E-20    2.915949E-14    2.525705E-02    4.750731E-02    1.151403E+00    7.500000E-06    1.000000E+00
     3075    1.5375E-01    3.346452E-16    1.000000E-20    2.315609E-14    2.525705E-02    4.750731E-02    1.151560E+00    7.500000E-06    1.000000E+00
     3100    1.5500E-01    2.595292E-16    1.000000E-20    1.838867E-14    2.525705E-02    4.750731E-02    1.151709E+00    7.500000E-06    1.000000E+00
     3125    1.5625E-01    2.012741E-16    1.000000E-20    1.460278E-14    2.525705E-02    4.750731E-02    1.151851E+00    7.500000E-06    1.000000E+00
     3150    1.5750E-01    1.560952E-16    1.000000E-20    1.159633E-14    2.525705E-02    4.750731E-02    1.151987E+00    7.500000E-06    1.000000E+00
     3175    1.5875E-01    1.210573E-16    1.000000E-20    9.208862E-15    2.525705E-02    4.750731E-02    1.152116E+00    7.500000E-06    1.000000E+00
     3200    1.6000E-01    9.388422E-17    1.000000E-20    7.312925E-15    2.525705E-02    4.750731E-02    1.152239E+00    7.500000E-06    1.000000E+00
     3225    1.6125E-01    7.281053E-17    1.000000E-20    5.807328E-15    2.525705E-02    4.750731E-02    1.152357E+00    7.500000E-06    1.000000E+00
     3250    1.6250E-01    5.646714E-17    1.000000E-20    4.611705E-15    2.525705E-02    4.750731E-02    1.152469E+00    7.500000E-06    1.000000E+00
     3275    1.6375E-01    4.379226E-17    1.000000E-20    3.662239E-15    2.525705E-02    4.750731E-02    1.152575E+00    7.500000E-06    1.000000E+00
     3300    1.6500E-01    3.396245E-17    1.000000E-20    2.908251E-15    2.525705E-02    4.750731E-02    1.152677E+00    7.500000E-06    1.000000E+00
     3325    1.6625E-01    2.633908E-17    1.000000E-20    2.309496E-15    2.525705E-02    4.750731E-02    1.152774E+00    7.500000E-06    1.000000E+00
     3350    1.6750E-01    2.042689E-17    1.000000E-20    1.834013E-15    2.525705E-02    4.750731E-02    1.152866E+00    7.500000E-06    1.000000E+00
     3375    1.6875E-01    1.584177E-17    1.000000E-20    1.456423E-15    2.525705E-02    4.750731E-02    1.152954E+00    7.500000E-06    1.000000E+00
     3400    1.7000E-01    1.228585E-17    1.000000E-20    1.156572E-15    2.525705E-02    4.750731E-02    1.153038E+00    7.500000E-06    1.000000E+00
     3425    1.7125E-01    9.528113E-18    1.000000E-20    9.184551E-16    2.525705E-02    4.750731E-02    1.153118E+00    7.500000E-06    1.000000E+00
     3450    1.7250E-01    7.389389E-18    1.000000E-20    7.293620E-16    2.525705E-02    4.750731E-02    1.153195E+00    7.500000E-06    1.000000E+00
     3475    1.7375E-01    5.730732E-18    1.000000E-20    5.791997E-16    2.525705E-02    4.750731E-02    1.153267E+00    7.500000E-06    1.000000E+00
     3500    1.7500E-01    4.444385E-18    1.000000E-20    4.599530E-16    2.525705E-02    4.750731E-02    1.153337E+00    7.500000E-06    1.000000E+00
     3525    1.7625E-01    3.446778E-18    1.000000E-20    3.652571E-16    2.525705E-02    4.750731E-02    1.153403E+00    7.500000E-06    1.000000E+00
     3550    1.7750E-01    2.673098E-18    1.000000E-20    2.900574E-16    2.525705E-02    4.750731E-02    1.153466E+00    7.500000E-06    1.000000E+00
     3575    1.7875E-01    2.073082E-18    1.000000E-20    2.303399E-16    2.525705E-02    4.750731E-02    1.153526E+00    7.500000E-06    1.000000E+00
     3600    1.8000E-01    1.607748E-18    1.000000E-20    1.829171E-16    2.525705E-02    4.750731E-02    1.153583E+00    7.500000E-06    1.000000E+00
     3625    1.8125E-01    1.246866E-18    1.000000E-20    1.452578E-16    2.525705E-02    4.750731E-02    1.153638E+00    7.500000E-06    1.000000E+00
     3650    1.8250E-01    9.669883E-19    1.000000E-20    1.153519E-16    2.525705E-02    4.750731E-02    1.153690E+00    7.500000E-06    1.000000E+00
     3675    1.8375E-01    7.499336E-19    1.000000E-20    9.160304E-17    2.525705E-02    4.750731E-02    1.153739E+00    7.500000E-06    1.000000E+00
     3700    1.8500E-01    5.816000E-19    1.000000E-20    7.274365E-17    2.525705E-02    4.750731E-02    1.153786E+00    7.500000E-06    1.000000E+00
     3725    1.8625E-01    4.510514E-19    1.000000E-20    5.776706E-17    2.525705E-02    4.750731E-02    1.153831E+00    7.500000E-06    1.000000E+00
     3750    1.8750E-01    3.498063E-19    1.000000E-20    4.587388E-17    2.525705E-02    4.750731E-02    1.153874E+00    7.500000E-06    1.000000E+00
     3775    1.8875E-01    2.712871E-19    1.000000E-20    3.642929E-17    2.525705E-02    4.750731E-02    1.153915E+00    7.500000E-06    1.000000E+00
     3800    1.9000E-01    2.103928E-19    1.000000E-20    2.892916E-17    2.525705E-02    4.750731E-02    1.153954E+00    7.500000E-06    1.000000E+00
     3825    1.9125E-01    1.631670E-19    1.000000E-20    2.297318E-17    2.525705E-02    4.750731E-02    1.153991E+00    7.500000E-06    1.000000E+00
     3850    1.9250E-01    1.265418E-19    1.000000E-20    1.824342E-17    2.525705E-02    4.750731E-02    1.154027E+00    7.500000E-06    1.000000E+00
     3875    1.9375E-01    9.813763E-20    1.000000E-20    1.448743E-17    2.525705E-02    4.750731E-02    1.154061E+00    7.500000E-06    1.000000E+00
     3900    1.9500E-01    7.610920E-20    1.000000E-20    1.150474E-17    2.525705E-02    4.750731E-02    1.154093E+00    7.500000E-06    1.000000E+00
     3925    1.9625E-01    5.902537E-20    1.000000E-20    9.136121E-18    2.525705E-02    4.750731E-02    1.154124E+00    7.500000E-06    1.000000E+00
     3950    1.9750E-01    4.577626E-20    1.000000E-20    7.255161E-18    2.525705E-02    4.750731E-02    1.154153E+00    7.500000E-06    1.000000E+00
     3975    1.9875E-01    3.550111E-20    1.000000E-20    5.761456E-18    2.525705E-02    4.750731E-02    1.154181E+00    7.500000E-06    1.000000E+00
     4000    2.0000E-01    2.753236E-20    1.000000E-20    4.575277E-18    2.525705E-02    4.750731E-02    1.154207E+00    7.500000E-06    1.000000E+00
     4025    2.0125E-01    2.135232E-20    1.000000E-20    3.633311E-18    2.525705E-02    4.750731E-02    1.154233E+00    7.500000E-06    1.000000E+00
     4050    2.0250E-01    1.655948E-20    1.000000E-20    2.885279E-18    2.525705E-02    4.750731E-02    1.154257E+00    7.500000E-06    1.000000E+00
