iteration          time             xO2              xO          xE(s1)          xO(s1)         xO2(s1)
      157    1.5700E-07    1.082445E+00    1.202717E-01    1.326379E-07    6.537097E-07    3.442252E-06
      158    1.5800E-07    1.082445E+00    1.202717E-01    1.326222E-07    6.541301E-07    3.441848E-06
      159    1.5900E-07    1.082445E+00    1.202717E-01    1.326066E-07    6.545483E-07    3.441445E-06
      160    1.6000E-07    1.082445E+00    1.202717E-01    1.325911E-07    6.549642E-07    3.441045E-06
      161    1.6100E-07    1.082445E+00    1.202717E-01    1.325756E-07    6.553780E-07    3.440646E-06
      162    1.6200E-07    1.082445E+00    1.202717E-01    1.325603E-07    6.557897E-07    3.440250E-06
      163    1.6300E-07    1.082445E+00    1.202717E-01    1.325451E-07    6.561991E-07    3.439856E-06
      164    1.6400E-07    1.082445E+00    1.202717E-01    1.325300E-07    6.566064E-07    3.439464E-06
      165    1.6500E-07    1.082445E+00    1.202717E-01    1.325150E-07    6.570116E-07    3.439073E-06
      166    1.6600E-07    1.082445E+00    1.202717E-01    1.325000E-07    6.574147E-07    3.438685E-06
      167    1.6700E-07    1.082445E+00    1.202717E-01    1.324852E-07    6.578157E-07    3.438299E-06
      168    1.6800E-07    1.082445E+00    1.202717E-01    1.324704E-07    6.582145E-07    3.437915E-06
      169    1.6900E-07    1.082445E+00    1.202717E-01    1.324558E-07    6.586113E-07    3.437533E-06
      170    1.7000E-07    1.082445E+00    1.202717E-01    1.324412E-07    6.590060E-07    3.437153E-06
      171    1.7100E-07    1.082445E+00    1.202717E-01    1.324267E-07    6.593986E-07    3.436775E-06
      172    1.7200E-07    1.082445E+00    1.202717E-01    1.324123E-07    6.597891E-07    3.436399E-06
      173    1.7300E-07    1.082445E+00    1.202717E-01    1.323980E-07    6.601777E-07    3.436024E-06
      174    1.7400E-07    1.082445E+00    1.202717E-01    1.323837E-07    6.605641E-07    3.435652E-06
      175    1.7500E-07    1.082445E+00    1.202717E-01    1.323696E-07    6.609486E-07    3.435282E-06
      176    1.7600E-07    1.082445E+00    1.202717E-01    1.323555E-07    6.613311E-07    3.434913E-06
      177    1.7700E-07    1.082445E+00    1.202717E-01    1.323415E-07    6.617115E-07    3.434547E-06
      178    1.7800E-07    1.082445E+00    1.202717E-01    1.323276E-07    6.620900E-07    3.434182E-06
      179    1.7900E-07    1.082445E+00    1.202717E-01    1.323137E-07    6.624664E-07    3.433820E-06
      180    1.8000E-07    1.082445E+00    1.202717E-01    1.323000E-07    6.628409E-07    3.433459E-06
      181    1.8100E-07    1.082445E+00    1.202717E-01    1.322863E-07    6.632135E-07    3.433100E-06
      182    1.8200E-07    1.082445E+00    1.202717E-01    1.322727E-07    6.635841E-07    3.432743E-06
      183    1.8300E-07    1.082445E+00    1.202717E-01    1.322591E-07    6.639527E-07    3.432388E-06
      184    1.8400E-07    1.082445E+00    1.202717E-01    1.322456E-07    6.643194E-07    3.432035E-06
      185    1.8500E-07    1.082445E+00    1.202717E-01    1.322322E-07    6.646842E-07    3.431684E-06
      186    1.8600E-07    1.082445E+00    1.202717E-01    1.322189E-07    6.650471E-07    3.431334E-06
      187    1.8700E-07    1.082445E+00    1.202717E-01    1.322057E-07    6.654081E-07    3.430986E-06
      188    1.8800E-07    1.082445E+00    1.202717E-01    1.321925E-07    6.657672E-07    3.430640E-06
