iteration          time             xO2              xO          xE(s1)          xO(s1)
     2310    2.3100E-05    1.082445E+00    1.202717E-01    2.619039E-07    7.238096E-06
     2320    2.3200E-05    1.082445E+00    1.202717E-01    2.618754E-07    7.238125E-06
     2330    2.3300E-05    1.082445E+00    1.202717E-01    2.618478E-07    7.238152E-06
     2340    2.3400E-05    1.082445E+00    1.202717E-01    2.618213E-07    7.238179E-06
     2350    2.3500E-05    1.082445E+00    1.202717E-01    2.617957E-07    7.238204E-06
     2360    2.3600E-05    1.082445E+00    1.202717E-01    2.617710E-07    7.238229E-06
     2370    2.3700E-05    1.082445E+00    1.202717E-01    2.617473E-07    7.238253E-06
     2380    2.3800E-05    1.082445E+00    1.202717E-01    2.617244E-07    7.238276E-06
     2390    2.3900E-05    1.082445E+00    1.202717E-01    2.617023E-07    7.238298E-06
     2400    2.4000E-05    1.082445E+00    1.202717E-01    2.616811E-07    7.238319E-06
     2410    2.4100E-05    1.082445E+00    1.202717E-01    2.616606E-07    7.238339E-06
     2420    2.4200E-05    1.082445E+00    1.202717E-01    2.616408E-07    7.238359E-06
     2430    2.4300E-05    1.082445E+00    1.202717E-01    2.616218E-07    7.238378E-06
     2440    2.4400E-05    1.082445E+00    1.202717E-01    2.616034E-07    7.238397E-06
     2450    2.4500E-05    1.082445E+00    1.202717E-01    2.615857E-07    7.238414E-06
     2460    2.4600E-05    1.082445E+00    1.202717E-01    2.615687E-07    7.238431E-06
     2470    2.4700E-05    1.082445E+00    1.202717E-01    2.615522E-07    7.238448E-06
     2480    2.4800E-05    1.082445E+00    1.202717E-01    2.615364E-07    7.238464E-06
     2490    2.4900E-05    1.082445E+00    1.202717E-01    2.615212E-07    7.238479E-06
     2500    2.5000E-05    1.082445E+00    1.202717E-01    2.615065E-07    7.238494E-06
     2510    2.5100E-05    1.082445E+00    1.202717E-01    2.614923E-07    7.238508E-06
     2520    2.5200E-05    1.082445E+00    1.202717E-01    2.614786E-07    7.238521E-06
     2530    2.5300E-05    1.082445E+00    1.202717E-01    2.614655E-07    7.238535E-06
     2540    2.5400E-05    1.082445E+00    1.202717E-01    2.614528E-07    7.238547E-06
     2550    2.5500E-05    1.082445E+00    1.202717E-01    2.614405E-07    7.238559E-06
     2560    2.5600E-05    1.082445E+00    1.202717E-01    2.614287E-07    7.238571E-06
     2570    2.5700E-05    1.082445E+00    1.202717E-01    2.614174E-07    7.238583E-06
     2580    2.5800E-05    1.082445E+00    1.202717E-01    2.614064E-07    7.238594E-06
     2590    2.5900E-05    1.082445E+00    1.202717E-01    2.613959E-07    7.238604E-06
     2600    2.6000E-05    1.082445E+00    1.202717E-01    2.613857E-07    7.238614E-06
     2610    2.6100E-05    1.082445E+00    1.202717E-01    2.613759E-07    7.238624E-06
     2620    2.6200E-05    1.082445E+00    1.202717E-01    2.613665E-07    7.238634E-06
     2630    2.6300E-05    1.082445E+00    1.202717E-01    2.613574E-07    7.238643E-06
     2640    2.6400E-05    1.082445E+00    1.202717E-01    2.613486E-07    7.238651E-06
     2650    2.6500E-05    1.082445E+00    1.202717E-01    2.613401E-07    7.238660E-06
     2660    2.6600E-05    1.082445E+00    1.202717E-01    2.613320E-07    7.238668E-06
     2670    2.6700E-05    1.082445E+00    1.202717E-01    2.613241E-07    7.238676E-06
     2680    2.6800E-05    1.082445E+00    1.202717E-01    2.613166E-07    7.238683E-06
