iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
      127    2.5400E-06    9.501462E-01    2.525699E-01    1.204496E-15    1.204503E-15    2.564380E-09    6.293681E-06    1.006532E-15    1.206319E-06
      128    2.5600E-06    9.501462E-01    2.525699E-01    1.204523E-15    1.204517E-15    2.591995E-09    6.285718E-06    1.006558E-15    1.214282E-06
      129    2.5800E-06    9.501462E-01    2.525699E-01    1.204549E-15    1.204532E-15    2.619711E-09    6.277775E-06    1.006584E-15    1.222225E-06
      130    2.6000E-06    9.501462E-01    2.525699E-01    1.204576E-15    1.204546E-15    2.647530E-09    6.269854E-06    1.006609E-15    1.230146E-06
      131    2.6200E-06    9.501462E-01    2.525699E-01    1.204604E-15    1.204560E-15    2.675450E-09    6.261952E-06    1.006634E-15    1.238048E-06
      132    2.6400E-06    9.501462E-01    2.525699E-01    1.204631E-15    1.204574E-15    2.703471E-09    6.254072E-06    1.006659E-15    1.245928E-06
      133    2.6600E-06    9.501462E-01    2.525699E-01    1.204659E-15    1.204588E-15    2.731594E-09    6.246212E-06    1.006683E-15    1.253788E-06
      134    2.6800E-06    9.501462E-01    2.525699E-01    1.204686E-15    1.204603E-15    2.759817E-09    6.238372E-06    1.006707E-15    1.261628E-06
      135    2.7000E-06    9.501462E-01    2.525699E-01    1.204714E-15    1.204617E-15    2.788142E-09    6.230553E-06    1.006731E-15    1.269447E-06
      136    2.7200E-06    9.501462E-01    2.525699E-01    1.204742E-15    1.204631E-15    2.816566E-09    6.222754E-06    1.006754E-15    1.277246E-06
      137    2.7400E-06    9.501462E-01    2.525699E-01    1.204771E-15    1.204645E-15    2.845091E-09    6.214975E-06    1.006777E-15    1.285025E-06
      138    2.7600E-06    9.501462E-01    2.525698E-01    1.204799E-15    1.204659E-15    2.873715E-09    6.207216E-06    1.006800E-15    1.292784E-06
      139    2.7800E-06    9.501462E-01    2.525698E-01    1.204828E-15    1.204674E-15    2.902439E-09    6.199477E-06    1.006822E-15    1.300523E-06
      140    2.8000E-06    9.501462E-01    2.525698E-01    1.204856E-15    1.204688E-15    2.931263E-09    6.191758E-06    1.006844E-15    1.308242E-06
      141    2.8200E-06    9.501462E-01    2.525698E-01    1.204885E-15    1.204702E-15    2.960185E-09    6.184058E-06    1.006865E-15    1.315942E-06
      142    2.8400E-06    9.501462E-01    2.525698E-01    1.204914E-15    1.204716E-15    2.989207E-09    6.176379E-06    1.006887E-15    1.323621E-06
      143    2.8600E-06    9.501462E-01    2.525698E-01    1.204944E-15    1.204730E-15    3.018327E-09    6.168719E-06    1.006908E-15    1.331281E-06
      144    2.8800E-06    9.501462E-01    2.525698E-01    1.204973E-15    1.204745E-15    3.047545E-09    6.161079E-06    1.006928E-15    1.338921E-06
      145    2.9000E-06    9.501462E-01    2.525698E-01    1.205003E-15    1.204759E-15    3.076861E-09    6.153459E-06    1.006949E-15    1.346541E-06
      146    2.9200E-06    9.501462E-01    2.525698E-01    1.205033E-15    1.204773E-15    3.106275E-09    6.145858E-06    1.006969E-15    1.354142E-06
      147    2.9400E-06    9.501462E-01    2.525698E-01    1.205062E-15    1.204787E-15    3.135787E-09    6.138277E-06    1.006988E-15    1.361723E-06
      148    2.9600E-06    9.501462E-01    2.525698E-01    1.205093E-15    1.204802E-15    3.165396E-09    6.130714E-06    1.007008E-15    1.369286E-06
      149    2.9800E-06    9.501462E-01    2.525698E-01    1.205123E-15    1.204816E-15    3.195102E-09    6.123172E-06    1.007027E-15    1.376828E-06
      150    3.0000E-06    9.501462E-01    2.525698E-01    1.205153E-15    1.204830E-15    3.224905E-09    6.115648E-06    1.007045E-15    1.384352E-06
      151    3.0200E-06    9.501462E-01    2.525698E-01    1.205184E-15    1.204844E-15    3.254804E-09    6.108144E-06    1.007064E-15    1.391856E-06
      152    3.0400E-06    9.501462E-01    2.525698E-01    1.205215E-15    1.204858E-15    3.284800E-09    6.100658E-06    1.007082E-15    1.399342E-06
      153    3.0600E-06    9.501462E-01    2.525698E-01    1.205246E-15    1.204873E-15    3.314891E-09    6.093192E-06    1.007100E-15    1.406808E-06
      154    3.0800E-06    9.501462E-01    2.525698E-01    1.205277E-15    1.204887E-15    3.345079E-09    6.085744E-06    1.007117E-15    1.414256E-06
      155    3.1000E-06    9.501462E-01    2.525698E-01    1.205308E-15    1.204901E-15    3.375362E-09    6.078316E-06    1.007134E-15    1.421684E-06
      156    3.1200E-06    9.501462E-01    2.525698E-01    1.205340E-15    1.204915E-15    3.405741E-09    6.070906E-06    1.007151E-15    1.429094E-06
      157    3.1400E-06    9.501462E-01    2.525698E-01    1.205371E-15    1.204929E-15    3.436215E-09    6.063515E-06    1.007167E-15    1.436485E-06
      158    3.1600E-06    9.501462E-01    2.525698E-01    1.205403E-15    1.204944E-15    3.466783E-09    6.056143E-06    1.007183E-15    1.443857E-06
      159    3.1800E-06    9.501462E-01    2.525698E-01    1.205435E-15    1.204958E-15    3.497446E-09    6.048789E-06    1.007199E-15    1.451211E-06
      160    3.2000E-06    9.501462E-01    2.525698E-01    1.205467E-15    1.204972E-15    3.528204E-09    6.041454E-06    1.007215E-15    1.458546E-06
      161    3.2200E-06    9.501462E-01    2.525698E-01    1.205499E-15    1.204986E-15    3.559056E-09    6.034137E-06    1.007230E-15    1.465863E-06
      162    3.2400E-06    9.501462E-01    2.525698E-01    1.205532E-15    1.205001E-15    3.590001E-09    6.026839E-06    1.007245E-15    1.473161E-06
      163    3.2600E-06    9.501462E-01    2.525698E-01    1.205564E-15    1.205015E-15    3.621041E-09    6.019559E-06    1.007259E-15    1.480441E-06
      164    3.2800E-06    9.501462E-01    2.525698E-01    1.205597E-15    1.205029E-15    3.652174E-09    6.012297E-06    1.007274E-15    1.487703E-06
      165    3.3000E-06    9.501462E-01    2.525697E-01    1.205630E-15    1.205043E-15    3.683400E-09    6.005054E-06    1.007288E-15    1.494946E-06
      166    3.3200E-06    9.501462E-01    2.525697E-01    1.205663E-15    1.205057E-15    3.714719E-09    5.997828E-06    1.007301E-15    1.502172E-06
      167    3.3400E-06    9.501462E-01    2.525697E-01    1.205696E-15    1.205072E-15    3.746130E-09    5.990621E-06    1.007315E-15    1.509379E-06
      168    3.3600E-06    9.501462E-01    2.525697E-01    1.205730E-15    1.205086E-15    3.777634E-09    5.983432E-06    1.007328E-15    1.516568E-06
      169    3.3800E-06    9.501462E-01    2.525697E-01    1.205763E-15    1.205100E-15    3.809231E-09    5.976260E-06    1.007340E-15    1.523740E-06
      170    3.4000E-06    9.501462E-01    2.525697E-01    1.205797E-15    1.205114E-15    3.840920E-09    5.969107E-06    1.007353E-15    1.530893E-06
      171    3.4200E-06    9.501462E-01    2.525697E-01    1.205831E-15    1.205129E-15    3.872700E-09    5.961972E-06    1.007365E-15    1.538028E-06
      172    3.4400E-06    9.501462E-01    2.525697E-01    1.205865E-15    1.205143E-15    3.904572E-09    5.954854E-06    1.007377E-15    1.545146E-06
      173    3.4600E-06    9.501462E-01    2.525697E-01    1.205899E-15    1.205157E-15    3.936535E-09    5.947754E-06    1.007388E-15    1.552246E-06
      174    3.4800E-06    9.501462E-01    2.525697E-01    1.205933E-15    1.205171E-15    3.968590E-09    5.940671E-06    1.007400E-15    1.559329E-06
      175    3.5000E-06    9.501462E-01    2.525697E-01    1.205968E-15    1.205185E-15    4.000735E-09    5.933606E-06    1.007410E-15    1.566394E-06
