iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
      101    2.0200E-06    9.501462E-01    2.525700E-01    1.203867E-15    1.204142E-15    1.890031E-09    6.502751E-06    1.005767E-15    9.972485E-07
      102    2.0400E-06    9.501462E-01    2.525700E-01    1.203889E-15    1.204156E-15    1.914908E-09    6.494224E-06    1.005803E-15    1.005776E-06
      103    2.0600E-06    9.501462E-01    2.525700E-01    1.203911E-15    1.204170E-15    1.939893E-09    6.485719E-06    1.005838E-15    1.014281E-06
      104    2.0800E-06    9.501462E-01    2.525700E-01    1.203933E-15    1.204184E-15    1.964988E-09    6.477237E-06    1.005872E-15    1.022763E-06
      105    2.1000E-06    9.501462E-01    2.525700E-01    1.203956E-15    1.204198E-15    1.990193E-09    6.468778E-06    1.005906E-15    1.031222E-06
      106    2.1200E-06    9.501462E-01    2.525700E-01    1.203979E-15    1.204212E-15    2.015505E-09    6.460341E-06    1.005940E-15    1.039659E-06
      107    2.1400E-06    9.501462E-01    2.525700E-01    1.204001E-15    1.204227E-15    2.040927E-09    6.451927E-06    1.005974E-15    1.048073E-06
      108    2.1600E-06    9.501462E-01    2.525700E-01    1.204025E-15    1.204241E-15    2.066456E-09    6.443535E-06    1.006007E-15    1.056465E-06
      109    2.1800E-06    9.501462E-01    2.525700E-01    1.204048E-15    1.204255E-15    2.092093E-09    6.435166E-06    1.006040E-15    1.064834E-06
      110    2.2000E-06    9.501462E-01    2.525700E-01    1.204071E-15    1.204269E-15    2.117838E-09    6.426819E-06    1.006072E-15    1.073181E-06
      111    2.2200E-06    9.501462E-01    2.525700E-01    1.204095E-15    1.204283E-15    2.143690E-09    6.418495E-06    1.006104E-15    1.081505E-06
      112    2.2400E-06    9.501462E-01    2.525699E-01    1.204119E-15    1.204298E-15    2.169649E-09    6.410192E-06    1.006136E-15    1.089808E-06
      113    2.2600E-06    9.501462E-01    2.525699E-01    1.204143E-15    1.204312E-15    2.195715E-09    6.401912E-06    1.006167E-15    1.098088E-06
      114    2.2800E-06    9.501462E-01    2.525699E-01    1.204167E-15    1.204326E-15    2.221887E-09    6.393653E-06    1.006198E-15    1.106347E-06
      115    2.3000E-06    9.501462E-01    2.525699E-01    1.204191E-15    1.204340E-15    2.248165E-09    6.385417E-06    1.006229E-15    1.114583E-06
      116    2.3200E-06    9.501462E-01    2.525699E-01    1.204216E-15    1.204354E-15    2.274549E-09    6.377202E-06    1.006259E-15    1.122798E-06
      117    2.3400E-06    9.501462E-01    2.525699E-01    1.204241E-15    1.204368E-15    2.301039E-09    6.369009E-06    1.006289E-15    1.130991E-06
      118    2.3600E-06    9.501462E-01    2.525699E-01    1.204266E-15    1.204383E-15    2.327634E-09    6.360838E-06    1.006318E-15    1.139162E-06
      119    2.3800E-06    9.501462E-01    2.525699E-01    1.204291E-15    1.204397E-15    2.354334E-09    6.352688E-06    1.006348E-15    1.147312E-06
      120    2.4000E-06    9.501462E-01    2.525699E-01    1.204316E-15    1.204411E-15    2.381139E-09    6.344560E-06    1.006376E-15    1.155440E-06
      121    2.4200E-06    9.501462E-01    2.525699E-01    1.204341E-15    1.204425E-15    2.408048E-09    6.336453E-06    1.006405E-15    1.163547E-06
      122    2.4400E-06    9.501462E-01    2.525699E-01    1.204367E-15    1.204439E-15    2.435062E-09    6.328367E-06    1.006433E-15    1.171633E-06
      123    2.4600E-06    9.501462E-01    2.525699E-01    1.204393E-15    1.204454E-15    2.462179E-09    6.320303E-06    1.006461E-15    1.179697E-06
      124    2.4800E-06    9.501462E-01    2.525699E-01    1.204419E-15    1.204468E-15    2.489400E-09    6.312260E-06    1.006488E-15    1.187740E-06
      125    2.5000E-06    9.501462E-01    2.525699E-01    1.204445E-15    1.204482E-15    2.516725E-09    6.304237E-06    1.006515E-15    1.195763E-06
      126    2.5200E-06    9.501462E-01    2.525699E-01    1.204472E-15    1.204496E-15    2.544152E-09    6.296236E-06    1.006542E-15    1.203764E-06
