iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
       95    1.9000E-06    9.501462E-01    2.525700E-01    1.203757E-15    1.204057E-15    1.753616E-09    6.556771E-06    1.005509E-15    9.432294E-07
       96    1.9200E-06    9.501462E-01    2.525700E-01    1.203778E-15    1.204071E-15    1.777910E-09    6.548121E-06    1.005547E-15    9.518795E-07
       97    1.9400E-06    9.501462E-01    2.525700E-01    1.203799E-15    1.204085E-15    1.802313E-09    6.539494E-06    1.005584E-15    9.605062E-07
       98    1.9600E-06    9.501462E-01    2.525700E-01    1.203820E-15    1.204099E-15    1.826828E-09    6.530890E-06    1.005620E-15    9.691098E-07
       99    1.9800E-06    9.501462E-01    2.525700E-01    1.203842E-15    1.204113E-15    1.851453E-09    6.522310E-06    1.005657E-15    9.776902E-07
      100    2.0000E-06    9.501462E-01    2.525700E-01    1.203864E-15    1.204127E-15    1.876188E-09    6.513752E-06    1.005692E-15    9.862475E-07
      101    2.0200E-06    9.501462E-01    2.525700E-01    1.203886E-15    1.204142E-15    1.901032E-09    6.505218E-06    1.005728E-15    9.947819E-07
      102    2.0400E-06    9.501462E-01    2.525700E-01    1.203908E-15    1.204156E-15    1.925986E-09    6.496707E-06    1.005763E-15    1.003293E-06
      103    2.0600E-06    9.501462E-01    2.525700E-01    1.203930E-15    1.204170E-15    1.951049E-09    6.488218E-06    1.005798E-15    1.011782E-06
      104    2.0800E-06    9.501462E-01    2.525700E-01    1.203953E-15    1.204184E-15    1.976221E-09    6.479752E-06    1.005832E-15    1.020248E-06
      105    2.1000E-06    9.501462E-01    2.525700E-01    1.203975E-15    1.204198E-15    2.001501E-09    6.471309E-06    1.005866E-15    1.028691E-06
      106    2.1200E-06    9.501462E-01    2.525700E-01    1.203998E-15    1.204213E-15    2.026889E-09    6.462888E-06    1.005900E-15    1.037112E-06
      107    2.1400E-06    9.501462E-01    2.525700E-01    1.204021E-15    1.204227E-15    2.052386E-09    6.454489E-06    1.005933E-15    1.045511E-06
      108    2.1600E-06    9.501462E-01    2.525700E-01    1.204044E-15    1.204241E-15    2.077990E-09    6.446113E-06    1.005966E-15    1.053887E-06
      109    2.1800E-06    9.501462E-01    2.525700E-01    1.204068E-15    1.204255E-15    2.103701E-09    6.437760E-06    1.005998E-15    1.062240E-06
      110    2.2000E-06    9.501462E-01    2.525700E-01    1.204091E-15    1.204269E-15    2.129520E-09    6.429428E-06    1.006031E-15    1.070572E-06
      111    2.2200E-06    9.501462E-01    2.525700E-01    1.204115E-15    1.204283E-15    2.155445E-09    6.421119E-06    1.006062E-15    1.078881E-06
      112    2.2400E-06    9.501462E-01    2.525700E-01    1.204139E-15    1.204298E-15    2.181477E-09    6.412831E-06    1.006094E-15    1.087169E-06
      113    2.2600E-06    9.501462E-01    2.525699E-01    1.204163E-15    1.204312E-15    2.207615E-09    6.404566E-06    1.006125E-15    1.095434E-06
      114    2.2800E-06    9.501462E-01    2.525699E-01    1.204187E-15    1.204326E-15    2.233859E-09    6.396322E-06    1.006156E-15    1.103678E-06
      115    2.3000E-06    9.501462E-01    2.525699E-01    1.204212E-15    1.204340E-15    2.260209E-09    6.388100E-06    1.006186E-15    1.111900E-06
      116    2.3200E-06    9.501462E-01    2.525699E-01    1.204237E-15    1.204354E-15    2.286664E-09    6.379900E-06    1.006216E-15    1.120100E-06
      117    2.3400E-06    9.501462E-01    2.525699E-01    1.204262E-15    1.204369E-15    2.313224E-09    6.371722E-06    1.006246E-15    1.128278E-06
      118    2.3600E-06    9.501462E-01    2.525699E-01    1.204287E-15    1.204383E-15    2.339889E-09    6.363565E-06    1.006275E-15    1.136435E-06
      119    2.3800E-06    9.501462E-01    2.525699E-01    1.204312E-15    1.204397E-15    2.366658E-09    6.355429E-06    1.006304E-15    1.144571E-06
      120    2.4000E-06    9.501462E-01    2.525699E-01    1.204337E-15    1.204411E-15    2.393532E-09    6.347315E-06    1.006332E-15    1.152685E-06
      121    2.4200E-06    9.501462E-01    2.525699E-01    1.204363E-15    1.204425E-15    2.420510E-09    6.339222E-06    1.006360E-15    1.160778E-06
      122    2.4400E-06    9.501462E-01    2.525699E-01    1.204389E-15    1.204439E-15    2.447592E-09    6.331150E-06    1.006388E-15    1.168850E-06
      123    2.4600E-06    9.501462E-01    2.525699E-01    1.204415E-15    1.204454E-15    2.474777E-09    6.323100E-06    1.006416E-15    1.176900E-06
      124    2.4800E-06    9.501462E-01    2.525699E-01    1.204441E-15    1.204468E-15    2.502065E-09    6.315070E-06    1.006443E-15    1.184930E-06
      125    2.5000E-06    9.501462E-01    2.525699E-01    1.204467E-15    1.204482E-15    2.529456E-09    6.307062E-06    1.006470E-15    1.192938E-06
      126    2.5200E-06    9.501462E-01    2.525699E-01    1.204493E-15    1.204496E-15    2.556950E-09    6.299074E-06    1.006496E-15    1.200926E-06
      127    2.5400E-06    9.501462E-01    2.525699E-01    1.204520E-15    1.204510E-15    2.584546E-09    6.291107E-06    1.006522E-15    1.208893E-06
