iteration         time       L1-norm       L2-norm
    5400    5.4000E-01    2.7739E-08    3.1013E-08
    5600    5.6000E-01    2.5139E-08    2.8107E-08
    5800    5.8000E-01    2.2784E-08    2.5474E-08
    6000    6.0000E-01    2.0651E-08    2.3089E-08
    6200    6.2000E-01    1.8718E-08    2.0928E-08
    6400    6.4000E-01    1.6967E-08    1.8970E-08
    6600    6.6000E-01    1.5379E-08    1.7195E-08
    6800    6.8000E-01    1.3941E-08    1.5587E-08
    7000    7.0000E-01    1.2638E-08    1.4130E-08
    7200    7.2000E-01    1.1457E-08    1.2809E-08
    7400    7.4000E-01    1.0386E-08    1.1612E-08
    7600    7.6000E-01    9.4157E-09    1.0527E-08
    7800    7.8000E-01    8.5362E-09    9.5439E-09
    8000    8.0000E-01    7.7389E-09    8.6525E-09
    8200    8.2000E-01    7.0162E-09    7.8445E-09
    8400    8.4000E-01    6.3610E-09    7.1120E-09
    8600    8.6000E-01    5.7672E-09    6.4480E-09
    8800    8.8000E-01    5.2288E-09    5.8460E-09
    9000    9.0000E-01    4.7407E-09    5.3003E-09
    9200    9.2000E-01    4.2982E-09    4.8056E-09
    9400    9.4000E-01    3.8971E-09    4.3571E-09
    9600    9.6000E-01    3.5334E-09    3.9505E-09
    9800    9.8000E-01    3.2036E-09    3.5818E-09
   10000    1.0000E+00    2.9047E-09    3.2476E-09
   10200    1.0200E+00    2.6337E-09    2.9446E-09
   10400    1.0400E+00    2.3879E-09    2.6699E-09
   10600    1.0600E+00    2.1652E-09    2.4208E-09
   10800    1.0800E+00    1.9632E-09    2.1949E-09
   11000    1.1000E+00    1.7800E-09    1.9902E-09
   11200    1.1200E+00    1.6140E-09    1.8045E-09
   11400    1.1400E+00    1.4634E-09    1.6362E-09
   11600    1.1600E+00    1.3269E-09    1.4835E-09
   11800    1.1800E+00    1.2031E-09    1.3451E-09
   12000    1.2000E+00    1.0909E-09    1.2197E-09
   12200    1.2200E+00    9.8914E-10    1.1059E-09
   12400    1.2400E+00    8.9687E-10    1.0028E-09
   12600    1.2600E+00    8.1322E-10    9.0922E-10
   12800    1.2800E+00    7.3737E-10    8.2442E-10
   13000    1.3000E+00    6.6859E-10    7.4752E-10
   13200    1.3200E+00    6.0623E-10    6.7780E-10
   13400    1.3400E+00    5.4969E-10    6.1458E-10
   13600    1.3600E+00    4.9842E-10    5.5726E-10
   13800    1.3800E+00    4.5194E-10    5.0529E-10
   14000    1.4000E+00    4.0979E-10    4.5816E-10
   14200    1.4200E+00    3.7157E-10    4.1543E-10
   14400    1.4400E+00    3.3691E-10    3.7669E-10
   14600    1.4600E+00    3.0549E-10    3.4155E-10
   14800    1.4800E+00    2.7700E-10    3.0970E-10
   15000    1.5000E+00    2.5117E-10    2.8082E-10
   15200    1.5200E+00    2.2774E-10    2.5463E-10
   15400    1.5400E+00    2.0650E-10    2.3088E-10
   15600    1.5600E+00    1.8724E-10    2.0935E-10
   15800    1.5800E+00    1.6978E-10    1.8982E-10
   16000    1.6000E+00    1.5395E-10    1.7212E-10
   16200    1.6200E+00    1.3959E-10    1.5607E-10
   16400    1.6400E+00    1.2657E-10    1.4151E-10
   16600    1.6600E+00    1.1477E-10    1.2831E-10
   16800    1.6800E+00    1.0406E-10    1.1635E-10
   17000    1.7000E+00    9.4358E-11    1.0550E-10
   17200    1.7200E+00    8.5558E-11    9.5659E-11
   17400    1.7400E+00    7.7579E-11    8.6738E-11
   17600    1.7600E+00    7.0344E-11    7.8648E-11
   17800    1.7800E+00    6.3784E-11    7.1314E-11
   18000    1.8000E+00    5.7835E-11    6.4663E-11
   18200    1.8200E+00    5.2442E-11    5.8632E-11
   18400    1.8400E+00    4.7551E-11    5.3164E-11
   18600    1.8600E+00    4.3116E-11    4.8206E-11
   18800    1.8800E+00    3.9095E-11    4.3711E-11
   19000    1.9000E+00    3.5449E-11    3.9634E-11
   19200    1.9200E+00    3.2143E-11    3.5938E-11
   19400    1.9400E+00    2.9146E-11    3.2586E-11
   19600    1.9600E+00    2.6428E-11    2.9547E-11
   19800    1.9800E+00    2.3963E-11    2.6792E-11
   20000    2.0000E+00    2.1728E-11    2.4293E-11
   20200    2.0200E+00    1.9702E-11    2.2028E-11
   20400    2.0400E+00    1.7864E-11    1.9973E-11
   20600    2.0600E+00    1.6198E-11    1.8111E-11
   20800    2.0800E+00    1.4688E-11    1.6422E-11
   21000    2.1000E+00    1.3318E-11    1.4890E-11
   21200    2.1200E+00    1.2076E-11    1.3502E-11
   21400    2.1400E+00    1.0950E-11    1.2242E-11
   21600    2.1600E+00    9.9286E-12    1.1101E-11
   21800    2.1800E+00    9.0027E-12    1.0065E-11
   22000    2.2000E+00    8.1631E-12    9.1268E-12
   22200    2.2200E+00    7.4018E-12    8.2756E-12
   22400    2.2400E+00    6.7115E-12    7.5038E-12
   22600    2.2600E+00    6.0856E-12    6.8040E-12
   22800    2.2800E+00    5.5181E-12    6.1695E-12
   23000    2.3000E+00    5.0035E-12    5.5941E-12
   23200    2.3200E+00    4.5368E-12    5.0724E-12
   23400    2.3400E+00    4.1137E-12    4.5994E-12
   23600    2.3600E+00    3.7301E-12    4.1705E-12
   23800    2.3800E+00    3.3822E-12    3.7815E-12
   24000    2.4000E+00    3.0668E-12    3.4289E-12
   24200    2.4200E+00    2.7808E-12    3.1091E-12
   24400    2.4400E+00    2.5215E-12    2.8191E-12
   24600    2.4600E+00    2.2863E-12    2.5562E-12
   24800    2.4800E+00    2.0731E-12    2.3178E-12
   25000    2.5000E+00    1.8798E-12    2.1017E-12
   25200    2.5200E+00    1.7045E-12    1.9057E-12
   25400    2.5400E+00    1.5455E-12    1.7280E-12
   25600    2.5600E+00    1.4014E-12    1.5668E-12
   25800    2.5800E+00    1.2707E-12    1.4207E-12
   26000    2.6000E+00    1.1522E-12    1.2882E-12
   26200    2.6200E+00    1.0447E-12    1.1681E-12
   26400    2.6400E+00    9.4730E-13    1.0591E-12
   26600    2.6600E+00    8.5895E-13    9.6036E-13
   26800    2.6800E+00    7.7885E-13    8.7080E-13
   27000    2.7000E+00    7.0621E-13    7.8959E-13
   27200    2.7200E+00    6.4035E-13    7.1596E-13
   27400    2.7400E+00    5.8063E-13    6.4919E-13
   27600    2.7600E+00    5.2649E-13    5.8865E-13
   27800    2.7800E+00    4.7739E-13    5.3375E-13
   28000    2.8000E+00    4.3287E-13    4.8397E-13
   28200    2.8200E+00    3.9250E-13    4.3884E-13
   28400    2.8400E+00    3.5589E-13    3.9791E-13
   28600    2.8600E+00    3.2270E-13    3.6081E-13
   28800    2.8800E+00    2.9261E-13    3.2716E-13
   29000    2.9000E+00    2.6532E-13    2.9665E-13
   29200    2.9200E+00    2.4058E-13    2.6898E-13
   29400    2.9400E+00    2.1814E-13    2.4390E-13
   29600    2.9600E+00    1.9780E-13    2.2115E-13
   29800    2.9800E+00    1.7935E-13    2.0053E-13
   30000    3.0000E+00    1.6262E-13    1.8183E-13
   30200    3.0200E+00    1.4746E-13    1.6487E-13
   30400    3.0400E+00    1.3371E-13    1.4950E-13
   30600    3.0600E+00    1.2124E-13    1.3556E-13
   30800    3.0800E+00    1.0993E-13    1.2291E-13
   31000    3.1000E+00    9.9679E-14    1.1145E-13
   31200    3.1200E+00    9.0383E-14    1.0106E-13
   31400    3.1400E+00    8.1954E-14    9.1635E-14
   31600    3.1600E+00    7.4311E-14    8.3090E-14
   31800    3.1800E+00    6.7381E-14    7.5342E-14
   32000    3.2000E+00    6.1097E-14    6.8316E-14
   32200    3.2200E+00    5.5399E-14    6.1946E-14
   32400    3.2400E+00    5.0233E-14    5.6169E-14
   32600    3.2600E+00    4.5548E-14    5.0931E-14
   32800    3.2800E+00    4.1300E-14    4.6182E-14
   33000    3.3000E+00    3.7449E-14    4.1876E-14
   33200    3.3200E+00    3.3956E-14    3.7971E-14
   33400    3.3400E+00    3.0789E-14    3.4431E-14
   33600    3.3600E+00    2.7918E-14    3.1220E-14
   33800    3.3800E+00    2.5314E-14    2.8309E-14
   34000    3.4000E+00    2.2954E-14    2.5670E-14
   34200    3.4200E+00    2.0813E-14    2.3276E-14
   34400    3.4400E+00    1.8872E-14    2.1106E-14
   34600    3.4600E+00    1.7112E-14    1.9139E-14
   34800    3.4800E+00    1.5516E-14    1.7354E-14
   35000    3.5000E+00    1.4069E-14    1.5737E-14
   35200    3.5200E+00    1.2757E-14    1.4270E-14
   35400    3.5400E+00    1.1567E-14    1.2939E-14
   35600    3.5600E+00    1.0489E-14    1.1733E-14
   35800    3.5800E+00    9.5104E-15    1.0640E-14
   36000    3.6000E+00    8.6235E-15    9.6480E-15
   36200    3.6200E+00    7.8193E-15    8.7489E-15
   36400    3.6400E+00    7.0901E-15    7.9336E-15
   36600    3.6600E+00    6.4288E-15    7.1943E-15
   36800    3.6800E+00    5.8293E-15    6.5240E-15
   37000    3.7000E+00    5.2857E-15    5.9162E-15
   37200    3.7200E+00    4.7927E-15    5.3650E-15
   37400    3.7400E+00    4.3458E-15    4.8653E-15
   37600    3.7600E+00    3.9405E-15    4.4122E-15
   37800    3.7800E+00    3.5730E-15    4.0013E-15
   38000    3.8000E+00    3.2398E-15    3.6288E-15
   38200    3.8200E+00    2.9376E-15    3.2910E-15
   38400    3.8400E+00    2.6637E-15    2.9847E-15
   38600    3.8600E+00    2.4153E-15    2.7070E-15
   38800    3.8800E+00    2.1900E-15    2.4552E-15
   39000    3.9000E+00    1.9858E-15    2.2269E-15
   39200    3.9200E+00    1.8006E-15    2.0198E-15
   39400    3.9400E+00    1.6327E-15    1.8321E-15
   39600    3.9600E+00    1.4804E-15    1.6619E-15
   39800    3.9800E+00    1.3423E-15    1.5076E-15
   40000    4.0000E+00    1.2171E-15    1.3677E-15
   40200    4.0200E+00    1.1036E-15    1.2408E-15
   40400    4.0400E+00    1.0007E-15    1.1258E-15
   40600    4.0600E+00    9.0738E-16    1.0215E-15
   40800    4.0800E+00    8.2276E-16    9.2693E-16
   41000    4.1000E+00    7.4603E-16    8.4121E-16
   41200    4.1200E+00    6.7645E-16    7.6349E-16
   41400    4.1400E+00    6.1336E-16    6.9304E-16
   41600    4.1600E+00    5.5616E-16    6.2917E-16
   41800    4.1800E+00    5.0429E-16    5.7127E-16
   42000    4.2000E+00    4.5726E-16    5.1879E-16
   42200    4.2200E+00    4.1461E-16    4.7123E-16
   42400    4.2400E+00    3.7594E-16    4.2812E-16
   42600    4.2600E+00    3.4088E-16    3.8906E-16
   42800    4.2800E+00    3.0909E-16    3.5367E-16
   43000    4.3000E+00    2.8026E-16    3.2161E-16
   43200    4.3200E+00    2.5412E-16    2.9256E-16
   43400    4.3400E+00    2.3042E-16    2.6627E-16
   43600    4.3600E+00    2.0893E-16    2.4246E-16
   43800    4.3800E+00    1.8945E-16    2.2092E-16
   44000    4.4000E+00    1.7177E-16    2.0143E-16
   44200    4.4200E+00    1.5575E-16    1.8380E-16
   44400    4.4400E+00    1.4122E-16    1.6787E-16
   44600    4.4600E+00    1.2805E-16    1.5349E-16
   44800    4.4800E+00    1.1611E-16    1.4051E-16
   45000    4.5000E+00    1.0528E-16    1.2881E-16
   45200    4.5200E+00    9.5461E-17    1.1827E-16
   45400    4.5400E+00    8.6557E-17    1.0879E-16
   45600    4.5600E+00    7.8483E-17    1.0027E-16
   45800    4.5800E+00    7.1161E-17    9.2622E-17
   46000    4.6000E+00    6.4521E-17    8.5776E-17
   46200    4.6200E+00    5.8500E-17    7.9658E-17
   46400    4.6400E+00    5.3040E-17    7.4202E-17
   46600    4.6600E+00    4.8089E-17    6.9348E-17
   46800    4.6800E+00    4.3599E-17    6.5041E-17
   47000    4.7000E+00    3.9528E-17    6.1229E-17
   47200    4.7200E+00    3.5836E-17    5.7864E-17
   47400    4.7400E+00    3.2488E-17    5.4904E-17
   47600    4.7600E+00    2.9452E-17    5.2306E-17
   47800    4.7800E+00    2.8634E-17    5.0033E-17
   48000    4.8000E+00    2.8634E-17    4.8055E-17
   48200    4.8200E+00    2.8634E-17    4.6333E-17
   48400    4.8400E+00    2.8634E-17    4.4838E-17
   48600    4.8600E+00    2.8634E-17    4.3541E-17
   48800    4.8800E+00    2.8634E-17    4.2419E-17
   49000    4.9000E+00    2.8634E-17    4.1448E-17
   49200    4.9200E+00    2.8634E-17    4.0610E-17
   49400    4.9400E+00    2.8634E-17    3.9887E-17
   49600    4.9600E+00    2.8634E-17    3.9263E-17
   49800    4.9800E+00    2.8634E-17    3.8724E-17
   50000    5.0000E+00    2.8634E-17    3.8260E-17
