iteration          time             xO2              xO          xE(s1)          xO(s1)
     1090    1.0900E-05    1.082450E+00    1.202666E-01    3.327768E-07    7.167223E-06
     1100    1.1000E-05    1.082450E+00    1.202666E-01    3.301609E-07    7.169839E-06
     1110    1.1100E-05    1.082450E+00    1.202666E-01    3.276413E-07    7.172359E-06
     1120    1.1200E-05    1.082450E+00    1.202666E-01    3.252142E-07    7.174786E-06
     1130    1.1300E-05    1.082450E+00    1.202665E-01    3.228764E-07    7.177124E-06
     1140    1.1400E-05    1.082450E+00    1.202665E-01    3.206244E-07    7.179376E-06
     1150    1.1500E-05    1.082450E+00    1.202665E-01    3.184551E-07    7.181545E-06
     1160    1.1600E-05    1.082450E+00    1.202665E-01    3.163653E-07    7.183635E-06
     1170    1.1700E-05    1.082450E+00    1.202665E-01    3.143522E-07    7.185648E-06
     1180    1.1800E-05    1.082450E+00    1.202665E-01    3.124129E-07    7.187587E-06
     1190    1.1900E-05    1.082450E+00    1.202665E-01    3.105447E-07    7.189455E-06
     1200    1.2000E-05    1.082450E+00    1.202665E-01    3.087448E-07    7.191255E-06
     1210    1.2100E-05    1.082450E+00    1.202664E-01    3.070108E-07    7.192989E-06
     1220    1.2200E-05    1.082450E+00    1.202664E-01    3.053403E-07    7.194660E-06
     1230    1.2300E-05    1.082450E+00    1.202664E-01    3.037309E-07    7.196269E-06
     1240    1.2400E-05    1.082450E+00    1.202664E-01    3.021804E-07    7.197820E-06
     1250    1.2500E-05    1.082450E+00    1.202664E-01    3.006865E-07    7.199313E-06
     1260    1.2600E-05    1.082450E+00    1.202664E-01    2.992473E-07    7.200753E-06
     1270    1.2700E-05    1.082450E+00    1.202664E-01    2.978606E-07    7.202139E-06
     1280    1.2800E-05    1.082450E+00    1.202664E-01    2.965245E-07    7.203475E-06
     1290    1.2900E-05    1.082450E+00    1.202664E-01    2.952372E-07    7.204763E-06
     1300    1.3000E-05    1.082450E+00    1.202663E-01    2.939969E-07    7.206003E-06
     1310    1.3100E-05    1.082450E+00    1.202663E-01    2.928019E-07    7.207198E-06
     1320    1.3200E-05    1.082450E+00    1.202663E-01    2.916504E-07    7.208350E-06
     1330    1.3300E-05    1.082450E+00    1.202663E-01    2.905410E-07    7.209459E-06
     1340    1.3400E-05    1.082450E+00    1.202663E-01    2.894720E-07    7.210528E-06
     1350    1.3500E-05    1.082450E+00    1.202663E-01    2.884419E-07    7.211558E-06
     1360    1.3600E-05    1.082450E+00    1.202663E-01    2.874495E-07    7.212551E-06
     1370    1.3700E-05    1.082450E+00    1.202663E-01    2.864931E-07    7.213507E-06
     1380    1.3800E-05    1.082450E+00    1.202663E-01    2.855716E-07    7.214428E-06
     1390    1.3900E-05    1.082450E+00    1.202662E-01    2.846837E-07    7.215316E-06
     1400    1.4000E-05    1.082450E+00    1.202662E-01    2.838281E-07    7.216172E-06
     1410    1.4100E-05    1.082450E+00    1.202662E-01    2.830036E-07    7.216996E-06
     1420    1.4200E-05    1.082450E+00    1.202662E-01    2.822091E-07    7.217791E-06
     1430    1.4300E-05    1.082450E+00    1.202662E-01    2.814436E-07    7.218556E-06
     1440    1.4400E-05    1.082450E+00    1.202662E-01    2.807059E-07    7.219294E-06
     1450    1.4500E-05    1.082450E+00    1.202662E-01    2.799951E-07    7.220005E-06
     1460    1.4600E-05    1.082450E+00    1.202662E-01    2.793101E-07    7.220690E-06
     1470    1.4700E-05    1.082450E+00    1.202662E-01    2.786500E-07    7.221350E-06
     1480    1.4800E-05    1.082450E+00    1.202662E-01    2.780139E-07    7.221986E-06
     1490    1.4900E-05    1.082451E+00    1.202661E-01    2.774010E-07    7.222599E-06
     1500    1.5000E-05    1.082451E+00    1.202661E-01    2.768103E-07    7.223190E-06
     1510    1.5100E-05    1.082451E+00    1.202661E-01    2.762411E-07    7.223759E-06
     1520    1.5200E-05    1.082451E+00    1.202661E-01    2.756926E-07    7.224307E-06
     1530    1.5300E-05    1.082451E+00    1.202661E-01    2.751640E-07    7.224836E-06
     1540    1.5400E-05    1.082451E+00    1.202661E-01    2.746547E-07    7.225345E-06
     1550    1.5500E-05    1.082451E+00    1.202661E-01    2.741638E-07    7.225836E-06
     1560    1.5600E-05    1.082451E+00    1.202661E-01    2.736908E-07    7.226309E-06
     1570    1.5700E-05    1.082451E+00    1.202661E-01    2.732349E-07    7.226765E-06
     1580    1.5800E-05    1.082451E+00    1.202660E-01    2.727956E-07    7.227204E-06
     1590    1.5900E-05    1.082451E+00    1.202660E-01    2.723723E-07    7.227628E-06
     1600    1.6000E-05    1.082451E+00    1.202660E-01    2.719643E-07    7.228036E-06
     1610    1.6100E-05    1.082451E+00    1.202660E-01    2.715711E-07    7.228429E-06
     1620    1.6200E-05    1.082451E+00    1.202660E-01    2.711923E-07    7.228808E-06
