variables = iteration          time             xO2              xO          xE(s1)          xO(s1)
zone f=point t=Marschall
      900    9.0000E-06    1.082450E+00    1.202668E-01    4.067689E-07    7.093231E-06
      910    9.1000E-06    1.082450E+00    1.202668E-01    4.014088E-07    7.098591E-06
      920    9.2000E-06    1.082450E+00    1.202668E-01    3.962489E-07    7.103751E-06
      930    9.3000E-06    1.082450E+00    1.202668E-01    3.912816E-07    7.108718E-06
      940    9.4000E-06    1.082450E+00    1.202668E-01    3.864995E-07    7.113500E-06
      950    9.5000E-06    1.082450E+00    1.202668E-01    3.818955E-07    7.118105E-06
      960    9.6000E-06    1.082450E+00    1.202668E-01    3.774628E-07    7.122537E-06
      970    9.7000E-06    1.082450E+00    1.202667E-01    3.731948E-07    7.126805E-06
      980    9.8000E-06    1.082450E+00    1.202667E-01    3.690853E-07    7.130915E-06
      990    9.9000E-06    1.082450E+00    1.202667E-01    3.651283E-07    7.134872E-06
     1000    1.0000E-05    1.082450E+00    1.202667E-01    3.613179E-07    7.138682E-06
     1010    1.0100E-05    1.082450E+00    1.202667E-01    3.576487E-07    7.142351E-06
     1020    1.0200E-05    1.082450E+00    1.202667E-01    3.541152E-07    7.145885E-06
     1030    1.0300E-05    1.082450E+00    1.202667E-01    3.507124E-07    7.149288E-06
     1040    1.0400E-05    1.082450E+00    1.202667E-01    3.474354E-07    7.152565E-06
     1050    1.0500E-05    1.082450E+00    1.202666E-01    3.442793E-07    7.155721E-06
     1060    1.0600E-05    1.082450E+00    1.202666E-01    3.412397E-07    7.158760E-06
     1070    1.0700E-05    1.082450E+00    1.202666E-01    3.383122E-07    7.161688E-06
     1080    1.0800E-05    1.082450E+00    1.202666E-01    3.354926E-07    7.164507E-06
     1090    1.0900E-05    1.082450E+00    1.202666E-01    3.327768E-07    7.167223E-06
     1100    1.1000E-05    1.082450E+00    1.202666E-01    3.301609E-07    7.169839E-06
     1110    1.1100E-05    1.082450E+00    1.202666E-01    3.276413E-07    7.172359E-06
     1120    1.1200E-05    1.082450E+00    1.202666E-01    3.252142E-07    7.174786E-06
     1130    1.1300E-05    1.082450E+00    1.202665E-01    3.228764E-07    7.177124E-06
     1140    1.1400E-05    1.082450E+00    1.202665E-01    3.206244E-07    7.179376E-06
     1150    1.1500E-05    1.082450E+00    1.202665E-01    3.184551E-07    7.181545E-06
     1160    1.1600E-05    1.082450E+00    1.202665E-01    3.163653E-07    7.183635E-06
     1170    1.1700E-05    1.082450E+00    1.202665E-01    3.143522E-07    7.185648E-06
     1180    1.1800E-05    1.082450E+00    1.202665E-01    3.124129E-07    7.187587E-06
     1190    1.1900E-05    1.082450E+00    1.202665E-01    3.105447E-07    7.189455E-06
     1200    1.2000E-05    1.082450E+00    1.202665E-01    3.087448E-07    7.191255E-06
     1210    1.2100E-05    1.082450E+00    1.202664E-01    3.070108E-07    7.192989E-06
     1220    1.2200E-05    1.082450E+00    1.202664E-01    3.053403E-07    7.194660E-06
     1230    1.2300E-05    1.082450E+00    1.202664E-01    3.037309E-07    7.196269E-06
     1240    1.2400E-05    1.082450E+00    1.202664E-01    3.021804E-07    7.197820E-06
     1250    1.2500E-05    1.082450E+00    1.202664E-01    3.006865E-07    7.199313E-06
     1260    1.2600E-05    1.082450E+00    1.202664E-01    2.992473E-07    7.200753E-06
     1270    1.2700E-05    1.082450E+00    1.202664E-01    2.978606E-07    7.202139E-06
     1280    1.2800E-05    1.082450E+00    1.202664E-01    2.965245E-07    7.203475E-06
     1290    1.2900E-05    1.082450E+00    1.202664E-01    2.952372E-07    7.204763E-06
     1300    1.3000E-05    1.082450E+00    1.202663E-01    2.939969E-07    7.206003E-06
     1310    1.3100E-05    1.082450E+00    1.202663E-01    2.928019E-07    7.207198E-06
     1320    1.3200E-05    1.082450E+00    1.202663E-01    2.916504E-07    7.208350E-06
     1330    1.3300E-05    1.082450E+00    1.202663E-01    2.905410E-07    7.209459E-06
     1340    1.3400E-05    1.082450E+00    1.202663E-01    2.894720E-07    7.210528E-06
     1350    1.3500E-05    1.082450E+00    1.202663E-01    2.884419E-07    7.211558E-06
     1360    1.3600E-05    1.082450E+00    1.202663E-01    2.874495E-07    7.212551E-06
     1370    1.3700E-05    1.082450E+00    1.202663E-01    2.864931E-07    7.213507E-06
     1380    1.3800E-05    1.082450E+00    1.202663E-01    2.855716E-07    7.214428E-06
     1390    1.3900E-05    1.082450E+00    1.202662E-01    2.846837E-07    7.215316E-06
     1400    1.4000E-05    1.082450E+00    1.202662E-01    2.838281E-07    7.216172E-06
     1410    1.4100E-05    1.082450E+00    1.202662E-01    2.830036E-07    7.216996E-06
     1420    1.4200E-05    1.082450E+00    1.202662E-01    2.822091E-07    7.217791E-06
     1430    1.4300E-05    1.082450E+00    1.202662E-01    2.814436E-07    7.218556E-06
     1440    1.4400E-05    1.082450E+00    1.202662E-01    2.807059E-07    7.219294E-06
     1450    1.4500E-05    1.082450E+00    1.202662E-01    2.799951E-07    7.220005E-06
     1460    1.4600E-05    1.082450E+00    1.202662E-01    2.793101E-07    7.220690E-06
     1470    1.4700E-05    1.082450E+00    1.202662E-01    2.786500E-07    7.221350E-06
     1480    1.4800E-05    1.082450E+00    1.202662E-01    2.780139E-07    7.221986E-06
     1490    1.4900E-05    1.082451E+00    1.202661E-01    2.774010E-07    7.222599E-06
     1500    1.5000E-05    1.082451E+00    1.202661E-01    2.768103E-07    7.223190E-06
     1510    1.5100E-05    1.082451E+00    1.202661E-01    2.762411E-07    7.223759E-06
     1520    1.5200E-05    1.082451E+00    1.202661E-01    2.756926E-07    7.224307E-06
     1530    1.5300E-05    1.082451E+00    1.202661E-01    2.751640E-07    7.224836E-06
     1540    1.5400E-05    1.082451E+00    1.202661E-01    2.746547E-07    7.225345E-06
     1550    1.5500E-05    1.082451E+00    1.202661E-01    2.741638E-07    7.225836E-06
     1560    1.5600E-05    1.082451E+00    1.202661E-01    2.736908E-07    7.226309E-06
     1570    1.5700E-05    1.082451E+00    1.202661E-01    2.732349E-07    7.226765E-06
     1580    1.5800E-05    1.082451E+00    1.202660E-01    2.727956E-07    7.227204E-06
     1590    1.5900E-05    1.082451E+00    1.202660E-01    2.723723E-07    7.227628E-06
     1600    1.6000E-05    1.082451E+00    1.202660E-01    2.719643E-07    7.228036E-06
     1610    1.6100E-05    1.082451E+00    1.202660E-01    2.715711E-07    7.228429E-06
     1620    1.6200E-05    1.082451E+00    1.202660E-01    2.711923E-07    7.228808E-06
     1630    1.6300E-05    1.082451E+00    1.202660E-01    2.708271E-07    7.229173E-06
     1640    1.6400E-05    1.082451E+00    1.202660E-01    2.704753E-07    7.229525E-06
     1650    1.6500E-05    1.082451E+00    1.202660E-01    2.701362E-07    7.229864E-06
     1660    1.6600E-05    1.082451E+00    1.202660E-01    2.698094E-07    7.230191E-06
     1670    1.6700E-05    1.082451E+00    1.202660E-01    2.694944E-07    7.230506E-06
     1680    1.6800E-05    1.082451E+00    1.202659E-01    2.691909E-07    7.230809E-06
     1690    1.6900E-05    1.082451E+00    1.202659E-01    2.688984E-07    7.231102E-06
     1700    1.7000E-05    1.082451E+00    1.202659E-01    2.686165E-07    7.231383E-06
     1710    1.7100E-05    1.082451E+00    1.202659E-01    2.683449E-07    7.231655E-06
     1720    1.7200E-05    1.082451E+00    1.202659E-01    2.680831E-07    7.231917E-06
     1730    1.7300E-05    1.082451E+00    1.202659E-01    2.678308E-07    7.232169E-06
     1740    1.7400E-05    1.082451E+00    1.202659E-01    2.675877E-07    7.232412E-06
     1750    1.7500E-05    1.082451E+00    1.202659E-01    2.673533E-07    7.232647E-06
     1760    1.7600E-05    1.082451E+00    1.202659E-01    2.671275E-07    7.232873E-06
     1770    1.7700E-05    1.082451E+00    1.202658E-01    2.669099E-07    7.233090E-06
     1780    1.7800E-05    1.082451E+00    1.202658E-01    2.667001E-07    7.233300E-06
     1790    1.7900E-05    1.082451E+00    1.202658E-01    2.664980E-07    7.233502E-06
     1800    1.8000E-05    1.082451E+00    1.202658E-01    2.663032E-07    7.233697E-06
     1810    1.8100E-05    1.082451E+00    1.202658E-01    2.661154E-07    7.233885E-06
     1820    1.8200E-05    1.082451E+00    1.202658E-01    2.659345E-07    7.234065E-06
     1830    1.8300E-05    1.082451E+00    1.202658E-01    2.657601E-07    7.234240E-06
     1840    1.8400E-05    1.082451E+00    1.202658E-01    2.655921E-07    7.234408E-06
     1850    1.8500E-05    1.082451E+00    1.202658E-01    2.654301E-07    7.234570E-06
     1860    1.8600E-05    1.082451E+00    1.202658E-01    2.652740E-07    7.234726E-06
     1870    1.8700E-05    1.082451E+00    1.202657E-01    2.651236E-07    7.234876E-06
     1880    1.8800E-05    1.082451E+00    1.202657E-01    2.649787E-07    7.235021E-06
     1890    1.8900E-05    1.082451E+00    1.202657E-01    2.648389E-07    7.235161E-06
     1900    1.9000E-05    1.082451E+00    1.202657E-01    2.647043E-07    7.235296E-06
     1910    1.9100E-05    1.082451E+00    1.202657E-01    2.645745E-07    7.235425E-06
     1920    1.9200E-05    1.082451E+00    1.202657E-01    2.644495E-07    7.235551E-06
     1930    1.9300E-05    1.082451E+00    1.202657E-01    2.643289E-07    7.235671E-06
     1940    1.9400E-05    1.082451E+00    1.202657E-01    2.642128E-07    7.235787E-06
     1950    1.9500E-05    1.082451E+00    1.202657E-01    2.641008E-07    7.235899E-06
     1960    1.9600E-05    1.082451E+00    1.202657E-01    2.639929E-07    7.236007E-06
     1970    1.9700E-05    1.082451E+00    1.202656E-01    2.638889E-07    7.236111E-06
     1980    1.9800E-05    1.082451E+00    1.202656E-01    2.637887E-07    7.236211E-06
     1990    1.9900E-05    1.082451E+00    1.202656E-01    2.636921E-07    7.236308E-06
     2000    2.0000E-05    1.082451E+00    1.202656E-01    2.635991E-07    7.236401E-06
     1000    1.0000E-02    1.083473E+00    1.192440E-01    2.624526E-07    7.237547E-06
     2000    2.0000E-02    1.084486E+00    1.182309E-01    2.637913E-07    7.236209E-06
     3000    3.0000E-02    1.085495E+00    1.172218E-01    2.651444E-07    7.234856E-06
     4000    4.0000E-02    1.086500E+00    1.162169E-01    2.665121E-07    7.233488E-06
     5000    5.0000E-02    1.087501E+00    1.152161E-01    2.678948E-07    7.232105E-06
     6000    6.0000E-02    1.088497E+00    1.142194E-01    2.692924E-07    7.230708E-06
     7000    7.0000E-02    1.089490E+00    1.132268E-01    2.707053E-07    7.229295E-06
     8000    8.0000E-02    1.090478E+00    1.122384E-01    2.721336E-07    7.227866E-06
     9000    9.0000E-02    1.091463E+00    1.112541E-01    2.735775E-07    7.226423E-06
    10000    1.0000E-01    1.092443E+00    1.102740E-01    2.750373E-07    7.224963E-06
    11000    1.1000E-01    1.093419E+00    1.092979E-01    2.765131E-07    7.223487E-06
    12000    1.2000E-01    1.094391E+00    1.083260E-01    2.780051E-07    7.221995E-06
    13000    1.3000E-01    1.095358E+00    1.073583E-01    2.795137E-07    7.220486E-06
    14000    1.4000E-01    1.096322E+00    1.063947E-01    2.810389E-07    7.218961E-06
    15000    1.5000E-01    1.097281E+00    1.054352E-01    2.825810E-07    7.217419E-06
    16000    1.6000E-01    1.098237E+00    1.044798E-01    2.841402E-07    7.215860E-06
    17000    1.7000E-01    1.099188E+00    1.035286E-01    2.857167E-07    7.214283E-06
    18000    1.8000E-01    1.100135E+00    1.025816E-01    2.873108E-07    7.212689E-06
